"","Categoria","Presentacion","n","Porcentaje"
"1","En la tienda","Otro ¿Cual?",2,2.56410256410256
"2","En la tienda","Sobre (sachet) 25 gr",43,55.1282051282051
"3","En la tienda","Tarro de 135 gr",33,42.3076923076923
"4","En un distribuidor de la plaza de mercado","Sobre (sachet) 25gr",3,30
"5","En un distribuidor de la plaza de mercado","Tarro 135 gr",2,20
"6","En un distribuidor de la plaza de mercado","Tarro 330 gr",2,20
"7","En un distribuidor de la plaza de mercado","Tarro 330 gr + doypack 80gr",3,30
"8","En un mini mercado","Otro ¿Cual?",5,6.09756097560976
"9","En un mini mercado","Sobre (sachet) 25 gr",29,35.3658536585366
"10","En un mini mercado","Tarro de 135 gr",48,58.5365853658537
"11","En un supermercado de cadena","Otro ¿cuál?",2,1.6260162601626
"12","En un supermercado de cadena","Sobre (sachet) 25gr",11,8.94308943089431
"13","En un supermercado de cadena","Tarro 135 gr",43,34.9593495934959
"14","En un supermercado de cadena","Tarro 330 gr",52,42.2764227642276
"15","En un supermercado de cadena","Tarro 330 gr + doypack 80gr",15,12.1951219512195
"16","En una droguería","Otro ¿cuál?",2,7.14285714285714
"17","En una droguería","Tarro 135 gr",17,60.7142857142857
"18","En una droguería","Tarro 380gr",9,32.1428571428571
"19","En una tienda de descuento (D1, Ara..)","Bipack (2 Tarros X 135 gr)",7,20.5882352941176
"20","En una tienda de descuento (D1, Ara..)","Otro ¿cuál?",4,11.7647058823529
"21","En una tienda de descuento (D1, Ara..)","Tarro 200 gr",23,67.6470588235294
"22","Otro ¿cuál?","Tarro de 135 gr",1,100
